
tpsa, NO = 5, NV = 7, INA = 59790
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    4  4.6566128730773926e-10   1  0  2  1  0  0  0
    4 -2.3283064365386963e-10   0  1  2  1  0  0  0
    4  2.3283064365386963e-10   1  0  1  2  0  0  0
    4 -5.8207660913467407e-11   1  1  1  0  1  0  0
    4  3.6379788070917130e-12   0  2  1  0  1  0  0
    4 -5.8207660913467407e-11   1  1  0  1  1  0  0
    4 -4.5474735088646412e-13   0  0  0  3  1  0  0
    4 -7.2759576141834259e-12   1  0  1  0  2  0  0
    4 -7.2759576141834259e-12   1  0  0  1  2  0  0
    4 -5.6843418860808015e-14   0  0  0  1  3  0  0
    5 -2.2351741790771484e-08   4  0  1  0  0  0  0
    5 -7.4505805969238281e-09   3  1  1  0  0  0  0
    5  1.1920928955078125e-07   2  2  1  0  0  0  0
    5 -2.3841857910156250e-07   1  3  1  0  0  0  0
    5 -5.9604644775390625e-08   1  1  3  0  0  0  0
    5 -1.4901161193847656e-08   0  2  3  0  0  0  0
    5  7.4505805969238281e-09   4  0  0  1  0  0  0
    5  2.3841857910156250e-07   2  2  0  1  0  0  0
    5 -2.3841857910156250e-07   1  3  0  1  0  0  0
    5 -1.4901161193847656e-08   0  4  0  1  0  0  0
    5  5.9604644775390625e-08   2  0  2  1  0  0  0
    5  5.9604644775390625e-08   1  1  2  1  0  0  0
    5 -1.4901161193847656e-08   0  0  4  1  0  0  0
    5 -1.1920928955078125e-07   2  0  1  2  0  0  0
    5  7.4505805969238281e-09   0  2  1  2  0  0  0
    5 -7.4505805969238281e-09   0  0  3  2  0  0  0
    5  2.9802322387695312e-08   0  2  0  3  0  0  0
    5 -2.9802322387695312e-08   0  0  2  3  0  0  0
    5  7.4505805969238281e-09   0  0  1  4  0  0  0
    5  9.3132257461547852e-10   0  0  0  5  0  0  0
    5  1.8626451492309570e-09   3  0  1  0  1  0  0
    5 -9.3132257461547852e-10   2  1  1  0  1  0  0
    5  5.5879354476928711e-09   0  3  1  0  1  0  0
    5 -1.1641532182693481e-09   1  0  3  0  1  0  0
    5 -4.6566128730773926e-10   0  1  3  0  1  0  0
    5 -3.7252902984619141e-09   3  0  0  1  1  0  0
    5 -7.4505805969238281e-09   2  1  0  1  1  0  0
    5 -1.8626451492309570e-09   1  2  0  1  1  0  0
    5 -3.7252902984619141e-09   0  3  0  1  1  0  0
    5  3.7252902984619141e-09   1  0  2  1  1  0  0
    5 -7.4505805969238281e-09   0  1  2  1  1  0  0
    5 -7.4505805969238281e-09   1  0  1  2  1  0  0
    5  3.7252902984619141e-09   0  1  1  2  1  0  0
    5  1.1175870895385742e-08   1  0  0  3  1  0  0
    5  1.8626451492309570e-09   0  1  0  3  1  0  0
    5 -2.3283064365386963e-10   2  0  1  0  2  0  0
    5  4.6566128730773926e-10   1  1  1  0  2  0  0
    5  2.3283064365386963e-10   0  2  1  0  2  0  0
    5 -1.1641532182693481e-10   0  0  3  0  2  0  0
    5  2.3283064365386963e-10   2  0  0  1  2  0  0
    5 -9.3132257461547852e-10   1  1  0  1  2  0  0
    5  9.3132257461547852e-10   0  2  0  1  2  0  0
    5 -9.3132257461547852e-10   0  0  2  1  2  0  0
    5  6.9849193096160889e-10   0  0  1  2  2  0  0
    5 -1.4551915228366852e-11   1  0  1  0  3  0  0
    5  2.9103830456733704e-11   0  1  1  0  3  0  0
    5 -1.1641532182693481e-10   1  0  0  1  3  0  0
    5  3.6379788070917130e-12   0  0  1  0  4  0  0
    5  7.2759576141834259e-12   0  0  0  1  4  0  0
  -63  0.0000000000000000e+00   0  0  0  0  0  0  0

tpsa, NO = 5, NV = 7, INA = 59787
------------------------------------------------------------------

   |I|         a                i  i  i  i  i  i  i
                I                1  2  3  4  5  6  7

    4  4.6566128730773926e-10   2  1  1  0  0  0  0
    4 -4.6566128730773926e-10   1  0  3  0  0  0  0
    4  2.3283064365386963e-10   2  1  0  1  0  0  0
    4  9.3132257461547852e-10   1  0  1  2  0  0  0
    4 -2.3283064365386963e-10   0  1  1  2  0  0  0
    4  2.9103830456733704e-11   2  0  1  0  1  0  0
    4  1.1641532182693481e-10   1  1  1  0  1  0  0
    4 -5.8207660913467407e-11   0  2  1  0  1  0  0
    4  7.2759576141834259e-12   0  0  3  0  1  0  0
    4 -1.4551915228366852e-11   2  0  0  1  1  0  0
    4  1.0913936421275139e-11   0  2  0  1  1  0  0
    4 -4.5474735088646412e-13   0  0  1  2  1  0  0
    4  7.2759576141834259e-12   1  0  0  1  2  0  0
    4  3.6379788070917130e-12   0  1  0  1  2  0  0
